Job_Title,Job_ID,City,Job_Type,Job_Level,Job_Description
IT Data Analyst (f/m/d),351201,Nuernberg,Full-time,Professional,"Thinking Industry Further Siemens Digital Industries is the innovation and technology leader in industrial automation and digitalization. Together with our partners and customers we drive Digitalization in both the discrete and the process industry, enabling flexibility, efficiency, and reduced time to market. Digital transformation paves the way for innovation, services, and new data-based business models. Looking for a chance to drive digitalization within Sales from IT perspective? Who we are We have many ideas on how to successfully drive digitalization in companies. For example, through open cloud platforms, sophisticated security systems or clever tools for developers. Your role in this? Become a world-beyond-the-scenes mover with your IT expertise and enthusiasm for pioneering information technologies. Simply think IT differently and steer projects in completely new directions. Show courage where others would have given up long ago. In short: Drive digitization forward decisively! We offer you the resources you need. We also offer you a wide range of job opportunities and the chance to become part of a global network of IT experts and professionals. Welcome to our world! As a IT Data Analyst you will Be part of the IT business partner organization for the Digital Industries Headquarter Function in the area of Sales, Marketing & Communication Understand business requirements from different DI Sales digital projects and develop data solutions for these projects Align your activities with the Sales Data Cloud (SDC) Architect so that all data analytics and data models built in SDC are harmonized, consistent and reusable for other use cases Ensure SDC analytics is aligned with entire Siemens Data Cloud concept Be part of an intercultural and dedicated team to provide the best support and fast solutions to drive DI Sales digital transformation What you need to make real what matters. Bachelors' degree in IT from reputable university or college More than 3 years of IT experience as a software engineer with a strong background in development, architecture, and agile software development process Extensive experience in relational database design and architecture with a solid knowledge of advanced SQL Good knowledge of various data warehousing methodologies and data modeling concepts Working experience and a good understanding of the AWS environment Experience in IT Project Management Experience in running IT development projects in an agile approach Strong communication and interpersonal skills with good problem-solving capabilities Knowledge of Python, JavaScript, Java, Shell script, C# is an advantage High proficiency in English, German is an advantage Make your mark in our exciting world at Siemens. As an equal-opportunity employer we are happy to consider applications from individuals with disabilities. www.siemens.com/careers - if you would like to find out more about jobs & careers at Siemens. FAQ - if you need further information on the application process Organization: Digital Industries Company: Siemens AG Experience Level: Experienced Professional Full / Part time: Full-time"
Software Developer Power Electronics (f/m/d),301921,Neckarsulm,Full-time,Professional,"Knowledge for the world of tomorrow. Are you currently planning your own future? Then take advantage of the prospects offered by a particularly innovative company! Since 1998, we at KACO new energy have been putting our ideas and our commitment into the development of future-oriented technologies for energy generation. 300 motivated employees are now working towards this goal. It is thanks to them that KACO new energy is now one of the world's leading manufacturers of photovoltaic inverters. Since May 2019, KACO new energy has been a 100% Siemens subsidiary. Change the world of tomorrow with us. You will be responsible for the new and further development of real-time capable embedded software for the control of power electronic circuits of grid-connected inverters and related products with upstream DC/DC converter stages for photovoltaic and battery systems. You will analyze new requirements and create functional specifications You will create software specifications, software architecture and documentation and perform software reviews and unit and integration tests You will also support us with the associated certifications and develop automated tests and associated scripts in order to be able to perform the tests in the Continuous Integration Server The new and further development of KACO HIL (hardware-in-the-loop) systems is also part of your responsibilities You will be involved in the selection and optimization of hardware components and their support You will act as a contact person for manufacturing and service questions regarding software and will meet the specified deadlines as well as the quality Your profile for ""making the future possible. The basis for your success is a degree in electrical engineering, technical computer science or in a comparable field of study You have good knowledge of digital signal processing and control engineering and have knowledge in the field of hardware, especially power electronics You also have good programming skills in C, especially for hardware-related real-time software You convince with knowledge in software engineering (requirements engineering, process models, test procedures, version management) You have profound knowledge of common scripting languages such as Python, PowerShell or Bash You have strong knowledge of SW version management tools (preferably GIT and SVN) Ideally, you already have experience in programming DSPs (e.g. TI C2000) and have prior knowledge of agile methods and DevOps mindset including continuous integration You work in a structured and independent manner, which is demonstrated by your results-oriented approach and effective time and project management skills Good communication in English and ideally additional German skills complete your profile Make your mark in our exciting world at Siemens. As an equal-opportunity employer we are happy to consider applications from individuals with disabilities. www.siemens.com/careers - if you would like to find out more about jobs & careers at Siemens. FAQ - if you need further information on the application process. Organization: Smart Infrastructure Company: KACO new energy GmbH Experience Level: Experienced Professional Full / Part time: Full-time"
IOT Fullstack Developer (f/m/diverse) at evosoft GmbH,268595,Nuernberg,Full-time,Professional,"Run a winning system. evosoft GmbH is an independent, 100% holding company of Siemens AG and sees itself as a pioneer for the development, integration, digitalisation and use of IT technologies of the future. We support our customers with innovative know-how and extensive experience in all areas of software development, in the automation, operation and innovation of applications as well as the design of applications for a wide range of industries and processes. evosoft currently employs more than 2,100 people at various locations in Europe. Join our team now as IOT Fullstack Developer (f/m/diverse) at evosoft GmbH in Nuremberg. Your new field of activity – challenging and future-oriented You are motivated to help shape the fast-growing environment of the Internet of Things. You are involved in the development of cloud applications and production-related software at the world’s leading industrial group You evaluate new and modern technologies with regard to possible applications in various projects You will work in an agile environment and contribute your know-how from design to implementation, testing and integration of the implemented requirements into the customer’s infrastructure. You design application requirements in cooperation with internal and external partners and create added value for the end users You will work in a flexible and young team where creativity is valued. Your qualifications -founded and adequate You have a successfully completed degree in computer science, business informatics or a comparable qualification You have experience in an object-oriented programming language (preferably Java) as well as a scripting language (e.g. Python) You ideally have professional experience in the area of cloud (AWS, Azure) and have an overview of current open source technologies You are familiar with container-based development (Docker, Kubernetes) You have knowledge of Linux (ideally Ubuntu or RedHat) You have experience in the integration of heterogeneous data sources (sensors, protocols, NoSQL databases) and their integration into existing architectures Experience in web technologies such as JavaScript and HTML5 round off your profile You quickly find your way around changing frameworks and tools You know the advantages of secure programming methodology, automated code management and versioning, as well as quality assurance measures, and you bring your experience as well as new ideas into implementation You have knowledge of the methodology and application of agile software development (rapid prototyping, Scrum, XP, etc.) You have very good German and English skills Your future employer – familiar and innovative at the same time You will work in a company that combines the innovative power of a large corporation with the flexibility of a medium-sized enterprise. You will be part of a trusting company culture that promotes tolerant and open cooperation. You can bring your private life into perfect harmony with your professional life through trust-based working hours and the use of mobile working. You will get a perfect start at evosoft through an organised onboarding process You will benefit from a wide range of training opportunities and benefits This is how you get in touch with us – simply and directly www.evosoft.com if you want to know more about evosoft before you apply +49 911 95827215 if you would like to clarify initial questions personally with our recruiting team. The contact person for this job advertisement is Mr. Florian Günther. www.evosoft.com/career if you would like to learn more about the application process and our employee benefits. evosoft GmbH attaches great importance to equal opportunities. We welcome applications from people with disabilities. Organization: Advanta Company: evosoft GmbH Experience Level: Mid-level Professional Full / Part time: Full-time"
Lead Software Architect (m/f/d),327918,Nuernberg,Full-time,Professional,"Nobody is perfect, but a team can be. Large Drives Applications (LDA) is the world market leader for electric motors, converters and generators based on more than 150 years of experience in motor manufacturing. We stand for sustainable and future-proof drive technology as well as services and digitalization. ""Digital Business"" is an innovative business for the drive system portfolio of Large Drive Applications. We focus on the acquisition and utilization of drive system data generated from the field as well as corresponding virtual data and data models from R&D and Engineering. Become part of our global digital business team. As a Lead Software Architect, you are responsible for design and continuous evolving of software architecture for the entire SIDRIVE IQ product family As part of an international, diverse, and highly motivated team, you lead and coordinate software architecture practices across DevOps teams regarding technology, methodology and talent You devise software architecture strategy and governance for digital business taking in consideration both functional and non-functional requirements Therefore, you contribute actively to design of scalable state-of-the-art architecture and data handling processes like interface definitions and identity and access management of SIDRIVE IQ platform Together with Product Owners, DevOps team architects and suppliers you are facilitating and securing technology choices and drive migration strategies incl. detailed architectural roadmaps Additionally, you provide technical and functional mentorship and assume an ambassador role for state-of the-are software architecture in and outside of the department What you need to make real what matters. You have a university degree in computer science or similar Building on that, you can demonstrate relevant, long-term experience in software engineering in different roles ideally across different industries You have deep practical experience with edge/cloud/big data technologies and frameworks (e.g. AWS, Kubernetes, Kafka, IAM, API Gateways) You have excellent knowledge in modern programming languages and frameworks (e.g. c#/.net core, golang, typescript, python) You have experience in relevant development and ci/cd tools (e.g. gitlab, JIRA, Confluence, SonarQube) You are experience in state-of-the-art software architectural methodology and tools like DDD, EDA and UML You are at an advanced level in speaking and writing skills in English, German is a plus We want you. Apply! As an equal-opportunity employer we are happy to consider applications from individuals with disabilities. www.siemens.com/careers - if you would like to find out more about jobs & careers at Siemens. FAQ - if you need further information on the application process. Organization: Portfolio Companies Company: Siemens AG Experience Level: Experienced Professional Full / Part time: Full-time"
Senior Embedded Software Developer (f/m/d) Signal Processing for Wireless Charging - eMobility,331455,Muenchen,Full-time,Professional,"Our worldwide teams at Siemens Smart Infrastructure (SI) connect energy systems, buildings and industries to significantly improve efficiency and sustainability. We electrify mobility for a better tomorrow. In our newly formed fast-growing eMobility business, we are looking for people with the skills and vision to build a healthier, more sustainable environment. Our common goal is not only to grow with the market, but to significantly outperform it. We want to become a leading player and actively shape the future of electro mobility. From AC & DC charging infrastructure, connected services, digital charging software & services (driver, station, depot, enterprise & fleets), to smart charging & fleet management, charging operations for fleets and ship-to-shore power supply. Watch our awareness video to learn more about our products and where you could create impact. (https://www.youtube.com/watch?v=mrgca8Hq-XM) How can you change the future with us? These are your tasks: In this position, you will make a decisive contribution to the development of innovative charging solutions of the future for electric vehicles, such as inductive charging. As an embedded software developer for signal processing, you will lead together with the technical project team the implementation of these innovations, considering internal/customer-specific specifications and relevant standards You will develop signal processing algorithms for object detection and position determination for electromagnetic sensors in the low frequency range. You create a system simulation environment in Matlab / Python for verification and optimization of the algorithms based on real measurement data You implement algorithms for real-time processing on embedded platforms, e.g. TI C2000 DSP or ARM You define and create independently test scenarios to perform validation tests, e.g. mechanical setup, programming of laboratory measurement devices for control and data recording The skills you bring to advance the world of eMobility: The Basis of your success is a master´s degree in IT You have long-term experience in the field of software development You have extensive practical experience in the use of data analysis tools such as Matlab, Python in an industrial environment You can demonstrate deep knowledge of embedded software development (C and C++), ideally for TI C2000 DSP or ARM In addition, you have experience with IoT connectivity and embedded Linux Experience with industrial / serial interfaces (e.g. RS485, Ethernet/IP, CAN) is also part of your profile You have good knowledge of analog and digital circuit technology Ideally, you have experience with radar signal processing, or methods of signal processing in high frequency systems Finally, you are business fluent in the German language. To communicate with international partners and to work with English reports, you have fluent English skills What we offer. 2 to 3 days of mobile working per week as a future global standard Attractive remuneration package Development opportunities for both personal and professional growth 30 leave days and a variety of flexible working models that allow time off for yourself and your family Find more benefits here Individual benefits are adapted to meet local legal regulations, the requirements of different job profiles, locations, and individual preferences. Make your mark in our exciting world at Siemens. As an equal-opportunity employer we are happy to consider applications from individuals with disabilities. www.siemens.com/careers - if you would like to find out more about jobs & careers at Siemens. FAQ - if you need further information on the application process. Organization: Smart Infrastructure Company: Siemens AG Experience Level: Experienced Professional Full / Part time: Full-time"
Configuration and Integration Engineer- Software (f/m/d) NextGen Grid Management,349478,Nuernberg,Full-time,Professional,"Listener, Understander, Doer. We are accelerating and securing the energy transition sustainably and profitably. Siemens Smart Infrastructure Grid Software enables grid operators as well as industry and infrastructure companies to accelerate and secure the energy transition in a sustainable and profitable way. We connect the physical and the digital world with an integrated OT and IT landscape along the entire value chain from planning through operations to maintenance – following its design principles of modularity, openness, user-centricity, interoperability, and resilience. NextGen Grid Management is a strategic evolving product portfolio, that caters to solving the grid challenges for next 20 years and beyond. It is here that the convergence of technologies like eCar, low Voltage Photovoltaic, smart meters, and electrical distribution assets happen on a data analysis and management level for operations of electrical grid. Our bigger purpose? We believe that software is the key to turn these challenges into opportunities. Are you passionate about creating new possibilities? In our newly formed fast-growing business, you will configure the NextGen Grid software solutions and integrate the software within our customer’s existing IT/OT environments. Together with a global team of experts you will enable our customers worldwide to manage their grid-challenges with the help of our next generation grid management software. What part will you play? You create solution concepts and configure our cloud deployed software to meet the desired customer use cases. You configure web-services/micro-services/application back-ends for data exchange You will be at the center of varied tasks to implement data exchange services, security settings for data flow, Grid data model mapping, and communication establishment between on-premise and cloud software applications You implement & execute test strategies in close collaboration with R&D teams. You actively participate in knowledge building and enablement sessions from different teams like Cloud Solutions team, Grid Control team, Meter Data Management team, and others You will work closely with customers, developers, architects, product owners, product managers, cloud Infrastructure teams, applying agile methods. We’ve got quite a lot to offer. How about you? You have a bachelor's degree in power engineering/computer science or have an equivalent education You have couple of years of experience in software architecture and cloud infrastructure and are familiar with microservice architectures, Kubernetes, Kafka, Rest and Async APIs. You have a good understanding of the power grid domain You have experience in enabling data exchange via configuring the services/web-services, messaging services, and Kafka messages. Ideally you have experience in managing configurations and solution integrations for any of the Grid software solutions like Meter Data Management, SCADA solutions, Distribution management solutions, Demand response Management solutions, Utility SAP solutions, and Geographic information systems. You have experience with test techniques, test tools and corresponding guidelines. You have experience with JavaScript, Python, programming as well as cloud technologies of various hyperscalers (AWS, Azure) and frameworks (e.g. AWS, PostgreSQL, NET Core) and agile principles. You convince with your communication skills and you present complex topics in a simple and consistent way. You have a “Growth Mindset”, you are curious and love to learn and try new things You are characterized by a very good command of English and are used to working in global, agile international teams. What we offer. 2 to 3 days of mobile working per week as a global standard Attractive remuneration package Development opportunities for both personal and professional growth 30 leave days and a variety of flexible working models that allow time off for yourself and your family Share matching programs to become a shareholder of Siemens AG Find more benefits here Individual benefits are adapted to meet local legal regulations, the requirements of different job profiles, locations, and individual preferences. Make your mark in our exciting world at Siemens. As an equal-opportunity employer we are happy to consider applications from individuals with disabilities. www.siemens.com/careers - if you would like to find out more about jobs & careers at Siemens. FAQ - if you need further information on the application process. Organization: Smart Infrastructure Company: Siemens AG Experience Level: Experienced Professional Full / Part time: Full-time"
Software Engineer (f/m/d) – Virtual Control,346296,Erlangen,Either,Professional,"Make the future of industrial automation become reality. When you think of a container, does it belong to a computer or a cargo ship? What do you think of when you see SIMATIC? Is it a kitchen appliance or ingenious automation technology? If your answer is computer and ingenious automation technology, then you are right for us. We are the innovative business line organization within Siemens. With over 200 colleagues in Amberg, Fürth, Turkey and the USA, we are driving the future of software-based automation. As a Senior Software Engineer (f/m/d) on a Linux platform, you will experience an ownership culture in a SCRUM team, and you will take on End2End responsibility with high quality standards. What part will you play? You will work on a new way of controlling PLCs – running them in a cloud–like environment. Analyze problems and find new and unconventional solutions to this challenge. Assess the technical feasibility of requirements as well as design and develop future-oriented solutions that will fit into the Siemens portfolio. Answer questions from customers and other teams, contribute to defining future concepts and architectures with your team, and help driving them forward until “Definition of Done” is reached. Focus on high quality, high reliability, and reusing components wherever possible. Work close with stakeholders like Industrial Edge and external Siemens customers. Share the experience gained and the results of the work into the team and contribute to continuous knowledge building. Develop software solutions in both IT and SIMATIC environments. Specialize in IT and OT technologies. What you need to make real what matters. Bachelor's degree in computer science, software engineering, or have an equivalent level of education or experience. Familiar with CI/CD and testing, ideally with GitHub. Knowledge in the use of state-of-the-art programming languages with C/C++. Alternatively, C#, Python, JavaScript or Java. First work experience in software projects, with a focus of expertise in the automation domain. Ideally, you already have experience with SIMATIC automation systems and their communication protocols. Demonstrate competence through knowledge of Linux operating system, open-source software, virtualization, containers and cloud technology. Ability to research, architect and drive technical solutions consisting of multiple technologies. Fluent English skills, written and spoken. What we offer. Development opportunities for both personal and professional growth An environment where everyone can bring their whole self to work and feel a sense of belonging 30 leave days and a variety of flexible working models that allow time off for yourself and your family Share matching programs to become a shareholder of Siemens AG Find more benefits here Individual benefits are adapted to meet local legal regulations, the requirements of different job profiles, locations, and individual preferences. Make your mark in our exciting world at Siemens. As an equal-opportunity employer we are happy to consider applications from individuals with disabilities. Organization: Digital Industries Company: Siemens AG Experience Level: Mid-level Professional Full / Part time: Either"
Senior Software Engineer (f/m/d) – Virtual Control,338615,Fuerth,Either,Professional,"Make the future of industrial automation become reality. When you think of a container, does it belong to a computer or a cargo ship? What do you think of when you see SIMATIC? Is it a kitchen appliance or ingenious automation technology? If your answer is computer and ingenious automation technology, then you are right for us. We are the innovative business line organization within Siemens. With over 200 colleagues in Amberg, Fürth, Turkey and the USA, we are driving the future of software-based automation. As a Senior Software Engineer (f/m/d) on a Linux platform, you will experience an ownership culture in a SCRUM team, and you will take on End2End responsibility with high quality standards. What part will you play? You will work on a new way of controlling PLCs – running them in a cloud–like environment. Analyze complex problems and find new and unconventional solutions to this challenge. Assess the technical feasibility of requirements as well as design and develop future-oriented solutions that will fit into the Siemens portfolio. Confidently answer questions from customers and other teams, contribute significantly to defining future concepts and architectures with your team, and drive them forward until “Definition of Done” is reached. Focus on high quality, high reliability, and reusing components wherever possible. Work close with stakeholders like Industrial Edge and external Siemens customers. Share the experience gained and the results of the work into the team and contribute to continuous knowledge building. Responsible for developing software solutions in both IT and SIMATIC environments. Specialize in IT and OT technologies. What you need to make real what matters. Master’s degree in computer science, software engineering, or have an equivalent level of education or experience. Familiar with CI/CD and testing, ideally with GitHub. Deep knowledge in the use of state-of-the-art programming languages with C/C++. Alternatively, C#, Python, JavaScript or Java. Many years of work experience in software projects, with a focus of expertise in the automation domain. Ideally, you already have experience with SIMATIC automation systems and their communication protocols. Demonstrate competence through knowledge of Linux operating system, open-source software, virtualization, containers and cloud technology. Ability to research, architect and drive complex technical solutions consisting of multiple technologies. Fluent English skills, written and spoken. What we offer. Development opportunities for both personal and professional growth An environment where everyone can bring their whole self to work and feel a sense of belonging 30 leave days and a variety of flexible working models that allow time off for yourself and your family Share matching programs to become a shareholder of Siemens AG Find more benefits here Individual benefits are adapted to meet local legal regulations, the requirements of different job profiles, locations, and individual preferences. Make your mark in our exciting world at Siemens. As an equal-opportunity employer we are happy to consider applications from individuals with disabilities. Organization: Digital Industries Company: Siemens AG Experience Level: Mid-level Professional Full / Part time: Either"
Software & Infrastructure Engineer/ DevOps Engineer (f/m/d),352351,Karlsruhe,Full-time,Professional,"Make the future of industrial operations become reality Here at Digital Industries, one of the main pillars of Siemens, we are the market leader in industrial automation. Our products and services are used in factories across the world, from car production to pharmaceutical plants. We know that future operation will be different than today. And we want to be the inspiring leader, building the future jointly with customers and partners. Delivering real value fast, in collaboration, solving fundamental problems, growing sustainability, optimizing systems, and living the change, this is what drives us in our daily operations. For this we have created the Future of Industrial Operations. Our goal is to do nothing less than transforming the industry and ourselves, Siemens. We are crafting a portfolio for tomorrow, iterating fast over new ideas and being in close touch with our customers to integrate their feedback back to the products we built. With this approach, we are building the bridge into a sustainable world of tomorrow. Fast, agile and purpose driven, for us and the next generations to come. What part will you play? In your role as “Software & Infrastructure/ DevOps Engineer” you will be at the core and help that our future portfolio offerings become reality. You will ensure the setup and maintenance of an efficient and future-proof infrastructure which enables software development teams to deliver at speed, with high quality, high reliability, and reusing components wherever possible Our central DevOps Enablement Team will provide you with templates so you can adapt them where needed towards your project needs, always with the focus to reach new levels of efficiency using CI/CD With your experience and best practice solutions you are contributing to the enablement of our internal and external partners to develop outstanding solutions Another focus of you will be on keeping the dots together, craft an inner-source community, and automate whatever is possible The alignment and coordination of working together with other organizations and departments is another challenging task What you need to make real what matters. You bring a bachelor degree in computer science, Industrial Engineering, or a related field With your profound technical domain proficiency working as a Software & Infrastructure Engineer/ DevOps Engineer, you can adapt into technical environments easily Setting up CI/CD pipelines and working with Kubernetes are topics that you handle daily You can provide Infrastructure as Code templates for tools like Terraform, CloudFormation or Crossplane Cloud providers like AWS, Azure, etc. are well known to you A good understanding and experiences as a Full-Stack SW Engineer and languages as Python, Node.js (TypeScript), JavaScript, Go, Java, or C# will enable you in getting the full picture Jira, Visual Studio Code, K8s, FluxCD, Docker, et al. are tools you already worked with The basis of code.siemens.com is customized with GitLab/GitHub. You know how to do it! In sharing your insights, best practices and knowledge you will provide profound documentations to a broad internal and external audience Full proficiency in English will help you communicating in our international environment As a great teammate the team can rely on you, like you can count on your team What we offer. Attractive remuneration package Development opportunities for both personal and professional growth 30 leave days and a variety of flexible working models that allow time off for yourself and your family Share matching programs to become a shareholder of Siemens AG Find more benefits here Individual benefits are adapted to meet local legal regulations, the requirements of different job profiles, locations, and individual preferences. Make your mark in our exciting world at Siemens. As an equal-opportunity employer we are happy to consider applications from individuals with disabilities. www.siemens.com/careers - if you would like to find out more about jobs & careers at Siemens. FAQ - if you need further information on the application process. #ctoxo, #DICTO-TA Organization: Digital Industries Company: Siemens AG Experience Level: Experienced Professional Full / Part time: Full-time"
Cloud Native Developer (f/m/d),354241,Erlangen,Full-time,Professional,"Knowledge for the world of tomorrow. Here at Digital Industries, one of the main pillars of Siemens, we are the market leader in industrial automation. Our products and services are used in factories across the world, from car production to pharmaceutical plants. We know that future operation will be different than today. And we want to be the inspiring leader, building the future jointly with customers and partners. Delivering real value fast, in collaboration, solving fundamental problems, growing sustainability, optimizing systems, and living the change, this is what drives us in our daily operations. For this, we have created the Future of Industrial Operations. Our goal is to do nothing less than transforming the industry and ourselves, Siemens. We are crafting a portfolio for tomorrow, iterating fast over new ideas and being in close touch with our customers to integrate their feedback back to the products we built. With this approach, we are building the bridge into the sustainable world of tomorrow. Fast, agile and purpose driven, for us and the next generations to come. What part will you play? In your role as “Cloud native Developer” you will be at the core, to realize our cloud native software service offerings as part of an end-to-end product development team. You will make our customer dreams come true and build customized cloud/ software solutions and products. You will get in close interaction with customers and apply co- creation Within an international, engaging and product related team you are responsible for the development, advancement and operation of state-of-the-art software The Team and you will monitor the project success closely and adapt to new challenges and requirements With your technical expertise in your domain you assure a high efficiency within the development environment What you need to make real what matters. You bring a bachelor’s degree in computer science, industrial engineering, or a related field You have a track record in developing cloud solutions / software services along the IT and OT space, while cloud is being your second home where you can REST With several years of profound technical domain expertise working as a cloud native developer, e.g., with AWS (preferred) or Azure you feel well prepared for this challenge In one of the following programming languages you are an expert: Node.js (TypeScript), JavaScript, Go, Java, Python or C# You have distinctive experience with CI/CD and Gitlab and containers.You are keen on working directly with customers and seeking for solutions that scale across a broad base of customers Your team can rely on you and you can count on your team Ideally you have first Operations and DevOps experience i Fluent in English skills will help you in our international environment and German language skills are a plus What we offer. 2 to 3 days of mobile working per week as a future global standard Attractive remuneration package Development opportunities for both personal and professional growth Find more benefits here Individual benefits are adapted to meet local legal regulations, the requirements of different job profiles, locations, and individual preferences. Make your mark in our exciting world at Siemens. As an equal-opportunity employer we are happy to consider applications from individuals with disabilities. www.siemens.com/careers - if you would like to find out more about jobs & careers at Siemens. FAQ - if you need further information on the application process. #ctoxo, #DICTO-TA Organization: Digital Industries Company: Siemens AG Experience Level: Experienced Professional Full / Part time: Full-time"
